cleaned_comment,label_id
em được làm fan cứng luôn rồi nè reaction quá hay quá cute coi mấy giờ này quá hợp_lí,0
đúng là bọn mắt híp lò_xo thụt bên việt_nam t cái này ra cách đây 10 năm r và bọn t gọi_là cái l,2
đậu văn_cường giờ giống thằng sida hơn à,0
côn_đồ cục súc vô_nhân_tính đề_nghi vn nhà_nước vn ban thưởng,2
từ lý_thuyết đến thực_hành là cả 1 câu_chuyện dài,0
coronavirus is manmade,0
đố chúng m nhận ra ai,0
lúp lúp như chó,1
,0
thế mà mình nói mấy thằng bắc kì_bọn đó lại bâu vô nói mình phân_biệtd,2
được anh ưi lâu rồi không nghe phúc_du_rap,0
cắt cho trẻ trâu bớt thui mà,0
nghe rất vô_lí nhưng cực_kì thuyết_phục,0
chán ghê_hong có pé 2 mới máu được hâhha,0
sao t gửi đc bây,0
thế đấy làm j bọn nó bọn nó có quyền nên làm j chả được v,0
loại này cho dựa cột thôi chứ độ thế_nào,2
thuong wa di,0
dạy bơi cho cá_bơi thì đương_nhiên nó bơi được vì nó là cá làm_sao cho nó sống được mới là điều người_dân đang quan_tâm,1
ủa chứ bữa xin_lỗi khóc tế_om xòm mà giờ chửi nữa rồi bó_tay con này hỗn quá,2
bamtp chạy ngay ddi,0
cứ đăng cái ảnh 2 bố_con là y_như_rằng bị đổi,0
dàn táo năm nay làm chương_trình táo_quân vi_hành nhé mn phát_sóng 9 h tối 23 tết trên vtv3,0
thật chán với chế_độ quản_lý dân_sinh,2
đời vô thường lắmsống phải tu_tâm_tích đức cô oikhẩu_nghiệp quá cô ơi,0
có ai biết làm cách nào để tìm lại được đồng_đội đồng_chí hay bạn_hữu cùng đơn_vị của người trong bức ảnh không,0
sống chậm lại các mày,0
chương_trình quảng_cáo xin đc bắt_đầu,0
nguyễn_hữu_nhân đớp cả của cháu thứ mắc dạy,2
nhậu cái đm chúng_mày lũ chó_hại dân_hại nước,2
thế vinh_yasbaga tối_cao,0
mài có óc để suy_nghĩ ko add cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu,2
chuẩn,0
chỉ 3 vàng ngọc như con heo nọc nhà e,2
phải thầy k ta,0
cảnh_sát chính_tả comingg nè,0
xuân đương_tới nghĩa_là xuân đương_qua,0
nhìn chúng_nó cmt mà đắng bạn à,0
ý_thức còn ít hơn cả số tiền trong túi t,1
em yêu anh từ thuở tóc dài,0
theo chân mấy anh hàn_quốc rồi,0
lương tháng 78 củ thui ak con trai nhưng bố vẫn ăn tạm cua_hoàng_đế để sống wa ngày thôi con trai ak,0
mệt quá thầy ạ,0
gia_lộc tran_quang còn j vui hơn cà_khịa,0
chị hôm_nay đẹp quá,0
xem r nè,0
việt tiến nghèo là rõ,0
xxx video,1
thầy đéo xóa kênh kêu_gọi học_trò report cho bay kênh thiệt luôn,2
anh ba láo_nháo là tú_xiên giờ,2
người ta bị lường gạt 1 tỷ mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la_um xùm_hà,0
tú thích hoa_hồng và mùa đông được quang đâm phía sau mông,0
mẹ sao bộ k mở cửa_hàng kinh_doanh bán bình luôn cho dân ko lại phạt vì mua phải bình_đểu,2
cuối_cùng anh đã trở_lại em tưởng anh biến mất luôn cho em mừng_thiệt là tình nội_dung mang tính giải_trí ko có ý_anti hay ghét ai,0
chi 3 cai_gi cung_co nhung cai_lờ_la chi 3 hét kiếp nay cung_k bao_gio co,2
vừa tăng lương phát biết ngay,0
ai là cảm_tình diên like,0
xin tộc trưởng hãy cho hiếu lợn_thần ra trận đảm_bảo sẽ có chiến_thắng,0
đấu khẩu chim lợn,1
cai_miệng nói không sợ bị hậu_quả,1
4 năm rồi à,0
đầu 2 thứ tóc rồi mà_còn bị trẻ trâu levi lừa,0
nguoi mien trung_nhu e chi ngoi xem cac bac chui nhau thoi,0
khắc thành nguyễn_phục cái máu lồn,2
quan va_dan nhu nhau phai_ton trong phap luat khong thuen vi_mot ai,0
chúc abe 2010 vui_vẻ,0
ko vào thì lấy đâu ra vốn vay fdi cho các anh đút túi,0
việc nhẹ lương cao mình xin nhường cho những người thất_nghiệp,0
b52 if j97,0
chào người anh_em,0
diệp gia_nghi_nghiệp nó quật m chết bh,0
duy_khương bên nó ai bị hoặc nghi bị thì tự cách_ly tự điểu_trị nhé nó còn không cho xét_nghiệm cơ_chỉ khi nào bạn chết thì nó mới khám_nghiệm để kết_luận có do virus hay không ở ngoài đường mà đeo khẩu_trang bọn anh nó còn đấm vào mặt cho chứ ở đó mà điều_trị,0
9x555 chứ ôg a già,0
trương duy_ko mvp đội mình thì là mvp của đội bạn,0
xin video với bro,0
bị gì bị lắm thế,0
du_học_sinh úc_cơ ấy,0
ôi vãi a_quang v,0
chờ_đợi 17 nồi bánh_chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi ga,0
khá khó,0
giúp e làm_đẹp với e_ko có điều_kiện ko có khả_năg nhưg thấy có người đẹp e rất thích,0
thu boo xuất_sắc nhưng em lại làm mấy bạn kia buồn thêm,0
